Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Old_Dialogue_ID,Old_Utterance_ID,Season,Episode,StartTime,EndTime,Speaker_ID,Listener_ID,Relationship_ID,Has_Entities,Entities,Has_Dialogue_Acts,Dialogue_Acts,Dialogue_Act_Dimension,Dialogue_Act_Comm_Func
"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,negative,1,2,1,2,9,23,"00:36:44,368","00:36:49,122",108,185,1,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'SetQ'}]",Task,SetQ
"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3,1,3,9,23,"00:36:49,290","00:36:51,791",185,108,1,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Ok!,Joey,neutral,neutral,1,4,1,4,9,23,"00:36:52,376","00:36:53,543",108,185,1,False,[],True,"[{'dimension': 'Feedback', 'communicative_function': 'Feedback'}]",Feedback,Feedback
"All right, well...",Joey,neutral,neutral,1,5,1,5,9,23,"00:36:53,545","00:36:55,000",108,185,1,False,[],False,[],,
"Yeah, sure!",Rachel,neutral,neutral,1,6,1,8,9,23,"0:36:59,425","0:37:01,439",185,108,1,False,[],True,"[{'dimension': 'Feedback', 'communicative_function': 'Feedback'}]",Feedback,Feedback
"Hey, Mon.",Chandler,neutral,neutral,2,0,2,0,3,6,"00:05:50,350","00:05:51,433",29,144,2,False,[],False,[],,
Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1,2,1,3,6,"0:05:52,435","0:05:53,897",144,29,2,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}, {'dimension': 'SocialObligationManagement', 'communicative_function': 'Apology'}]",Task,Statement
Do I ever.,Chandler,joy,positive,2,2,2,2,3,6,"0:05:53,897","0:05:55,743",29,144,2,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Chris says theyre closing down the bar.,Monica,sadness,negative,2,3,2,3,3,6,"0:05:57,023","0:05:58,734",144,29,2,True,"[('Chris', 'PERSON')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
No way!,Chandler,surprise,negative,2,4,2,4,3,6,"0:05:58,734","0:05:59,774",29,144,2,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Yeah, apparently theyre turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,2,5,3,6,"00:05:59,942","00:06:02,152",144,29,2,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,2,6,3,6,"00:06:02,362","00:06:07,157",29,144,2,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Directive'}]",Task,Directive
Got me.,Monica,sadness,negative,2,7,2,7,3,6,"00:06:04,489","00:06:07,157",144,29,2,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Can I get a beer.,Chandler,neutral,neutral,2,8,2,8,3,6,"0:06:07,367","0:06:08,035",29,144,2,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9,2,9,3,6,"0:06:08,035","0:06:10,019",144,29,2,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'PropQ'}]",Task,PropQ
You betcha!,Chandler,joy,positive,2,10,2,10,3,6,"0:06:10,161","0:06:10,973",29,144,2,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Is it the Italian guy?,Monica,neutral,neutral,2,11,2,11,3,6,"0:06:10,973","0:06:12,167",144,29,2,True,"[('Italian', 'NORP')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Um-mm, yeah right!",Chandler,joy,positive,2,12,2,12,3,6,"00:06:12,288","00:06:13,497",29,144,2,True,"[('Um-mm', 'PERSON')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,negative,3,0,3,0,3,12,"00:10:16,115","00:10:18,450",178,29,3,True,"[('Monica', 'PERSON')]",True,"[{'dimension': 'Feedback', 'communicative_function': 'Feedback'}]",Feedback,Feedback
"What, what, what?!",Chandler,surprise,negative,3,1,3,1,3,12,"0:10:18,618","0:10:19,750",29,178,3,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'SetQ'}]",Task,SetQ
What?!,Phoebe,surprise,negative,3,2,3,2,3,12,"0:10:19,750","0:10:20,966",178,29,3,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'SetQ'}]",Task,SetQ
He was with her when he wrote this poem.,Phoebe,neutral,neutral,3,3,3,3,3,12,"00:10:21,078","00:10:23,496",178,29,3,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,neutral,3,4,3,4,3,12,"00:10:23,664","00:10:26,499",178,29,3,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,neutral,3,5,3,5,3,12,"00:10:26,667","00:10:29,586",178,29,3,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,negative,3,6,3,6,3,12,"00:10:29,754","00:10:32,672",178,29,3,True,"[('Monica', 'PERSON')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,3,7,3,8,3,12,"00:10:36,385","00:10:39,137",178,29,3,False,[],True,"[{'dimension': 'Feedback', 'communicative_function': 'Feedback'}]",Feedback,Feedback
What?!,Phoebe,surprise,negative,4,0,3,2,3,12,"0:10:19,750","0:10:20,966",178,108,4,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'SetQ'}]",Task,SetQ
He was with her when he wrote this poem.,Phoebe,neutral,neutral,4,1,3,3,3,12,"00:10:21,078","00:10:23,496",178,108,4,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,neutral,4,2,3,4,3,12,"00:10:23,664","00:10:26,499",178,108,4,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,neutral,4,3,3,5,3,12,"00:10:26,667","00:10:29,586",178,108,4,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,negative,4,4,3,6,3,12,"00:10:29,754","00:10:32,672",178,108,4,True,"[('Monica', 'PERSON')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,4,5,3,8,3,12,"00:10:36,385","00:10:39,137",178,108,4,False,[],True,"[{'dimension': 'Feedback', 'communicative_function': 'Feedback'}]",Feedback,Feedback
Done.,Joey,neutral,neutral,4,6,3,9,3,12,"00:10:39,680","00:10:41,181",108,178,4,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Hey!,Rachel,surprise,positive,5,0,4,0,3,11,"0:20:23,931","0:20:24,891",185,197,5,False,[],False,[],,
Hi!,Ross,joy,positive,5,1,4,1,3,11,"0:20:24,891","0:20:25,028",197,185,5,False,[],True,"[{'dimension': 'SocialObligationManagement', 'communicative_function': 'Salutation'}]",SocialObligationManagement,Salutation
What are you doing here?,Rachel,surprise,positive,5,2,4,2,3,11,"00:20:25,140","00:20:26,265",185,197,5,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'SetQ'}]",Task,SetQ
"Ah y'know, this building is on my paper route so I...",Ross,neutral,neutral,5,3,4,3,3,11,"00:20:26,433","00:20:29,185",197,185,5,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Oh.,Rachel,neutral,neutral,5,4,4,4,3,11,"0:20:29,394","0:20:30,771",185,197,5,False,[],True,"[{'dimension': 'Feedback', 'communicative_function': 'Feedback'}]",Feedback,Feedback
Hi.,Ross,neutral,neutral,5,5,4,5,3,11,"0:20:30,771","0:20:30,873",197,185,5,False,[],True,"[{'dimension': 'SocialObligationManagement', 'communicative_function': 'Salutation'}]",SocialObligationManagement,Salutation
Hi.,Rachel,neutral,neutral,5,6,4,6,3,11,"0:20:30,873","0:20:31,135",185,197,5,False,[],True,"[{'dimension': 'SocialObligationManagement', 'communicative_function': 'Salutation'}]",SocialObligationManagement,Salutation
Howd did it go?,Ross,neutral,neutral,5,7,4,7,3,11,"00:20:31,188","00:20:32,230",197,185,5,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",Rachel,joy,positive,5,8,4,8,3,11,"00:20:32,397","00:20:40,446",185,197,5,True,"[('Mark', 'PERSON')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Im so proud of you.,Ross,joy,positive,5,9,4,9,3,11,"0:20:40,614","0:20:41,991",197,185,5,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Me too!,Rachel,joy,positive,5,10,4,10,3,11,"0:20:41,991","0:20:43,543",185,197,5,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...",Ross,sadness,negative,5,11,4,11,3,11,"00:20:44,284","00:20:53,584",197,185,5,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
I know.,Rachel,neutral,neutral,5,12,4,12,3,11,"00:20:53,752","00:20:54,794",185,197,5,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Yeah.,Ross,neutral,neutral,5,13,4,13,3,11,"0:20:54,962","0:20:55,380",197,185,5,False,[],True,"[{'dimension': 'Feedback', 'communicative_function': 'Feedback'}]",Feedback,Feedback
Yeah.,Rachel,neutral,neutral,5,14,4,14,3,11,"0:20:55,380","0:20:56,057",185,197,5,False,[],True,"[{'dimension': 'Feedback', 'communicative_function': 'Feedback'}]",Feedback,Feedback
Ameri-can.,Phoebe,neutral,neutral,6,0,5,0,3,15,"0:22:18,545","0:22:20,297",178,108,4,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Ameri-ccan.,Joey,neutral,neutral,6,1,5,1,3,15,"0:22:20,297","0:22:20,476",108,178,4,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Ameri-can. Y'know its a,Phoebe,neutral,neutral,6,2,5,2,3,15,"00:22:20,589","00:22:23,507",178,108,4,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Ameri-can. Y'know its a,Phoebe,neutral,neutral,7,0,5,2,3,15,"00:22:20,589","00:22:23,507",178,202,6,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Everybody!!,Sergei,surprise,positive,7,1,5,3,3,15,"00:22:25,844","00:22:28,679",202,178,6,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Good job Joe! Well done! Top notch!,Chandler,joy,positive,8,0,6,0,8,22,"00:12:24,315","00:12:27,526",29,108,7,True,"[('Joe', 'PERSON')]",False,[],,
You liked it? You really liked it?,Joey,surprise,positive,8,1,6,1,8,22,"0:12:28,194","0:12:29,796",108,29,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Oh-ho-ho, yeah!",Chandler,joy,positive,8,2,6,2,8,22,"0:12:29,796","0:12:31,501",29,108,7,True,"[('Oh-ho-ho', 'PERSON')]",True,"[{'dimension': 'Feedback', 'communicative_function': 'Feedback'}]",Feedback,Feedback
Which part exactly?,Joey,neutral,neutral,8,3,6,3,8,22,"0:12:31,655","0:12:33,657",108,29,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
The whole thing! Can we go?,Chandler,neutral,neutral,8,4,6,4,8,22,"0:12:33,657","0:12:36,243",29,108,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Oh no-no-no, give me some specifics.",Joey,anger,negative,8,5,6,5,8,22,"00:12:36,368","00:12:38,746",108,29,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"I love the specifics, the specifics were the best part!",Chandler,joy,positive,8,6,6,6,8,22,"00:12:38,954","00:12:43,000",29,108,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,neutral,8,7,6,7,8,22,"00:12:43,209","00:12:48,255",108,29,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'PropQ'}]",Task,PropQ
I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,negative,8,8,6,8,8,22,"00:12:49,298","00:12:54,929",29,108,7,True,"[('a World War I', 'EVENT')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
You fell asleep!!,Joey,anger,negative,8,9,6,9,8,22,"00:12:55,930","00:12:56,931",108,29,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
There was no kangaroo!,Joey,anger,negative,8,10,6,10,8,22,"0:12:58,432","0:12:59,809",108,29,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
They didnt take any of my suggestions!,Joey,anger,negative,8,11,6,11,8,22,"0:12:59,809","0:13:03,196",108,29,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Thats for coming buddy.,Joey,neutral,neutral,8,12,6,12,8,22,"0:13:05,940","0:13:07,242",108,29,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Ill see you later.,Joey,neutral,neutral,8,13,6,13,8,22,"0:13:07,242","0:13:08,202",108,29,7,True,"[('I\x92ll', 'NORP')]",True,"[{'dimension': 'SocialObligationManagement', 'communicative_function': 'Salutation'}]",SocialObligationManagement,Salutation
Dont go!,Chandler,sadness,negative,8,14,6,14,8,22,"0:13:08,202","0:13:08,804",29,108,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Im sorry.,Chandler,sadness,negative,8,15,6,15,8,22,"0:13:08,804","0:13:09,526",29,108,7,False,[],True,"[{'dimension': 'SocialObligationManagement', 'communicative_function': 'Apology'}]",SocialObligationManagement,Apology
Im so sorry!,Chandler,sadness,negative,8,16,6,16,8,22,"0:13:09,526","0:13:10,832",29,108,7,False,[],True,"[{'dimension': 'SocialObligationManagement', 'communicative_function': 'Apology'}]",SocialObligationManagement,Apology
Look!,Chandler,surprise,negative,8,17,6,17,8,22,"0:13:10,945","0:13:11,407",29,108,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
This guy fell asleep!,Chandler,anger,negative,8,18,6,18,8,22,"0:13:11,407","0:13:12,589",29,108,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
He fell asleep too!,Chandler,anger,negative,8,19,6,19,8,22,"0:13:12,589","0:13:13,215",29,108,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Be mad at him!,Chandler,anger,negative,8,20,6,20,8,22,"0:13:13,215","0:13:14,108",29,108,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Or, call an ambulance.",Chandler,anger,negative,8,21,6,21,8,22,"00:13:16,367","00:13:18,244",29,108,7,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,neutral,9,0,7,0,6,9,"00:12:51,020","00:12:53,897",108,197,8,True,"[('Rachel', 'PERSON')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",Ross,anger,negative,9,1,7,1,6,9,"00:12:54,106","00:12:58,193",197,108,8,True,"[('Thanksgiving', 'DATE'), ('Truth-Day', 'DATE')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,neutral,10,0,8,0,6,23,"00:19:17,865","00:19:21,951",178,29,3,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,neutral,10,1,8,1,6,23,"00:19:17,865","00:19:25,204",178,29,3,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Okay, thats enough honey!",Chandler,neutral,neutral,10,2,8,2,6,23,"00:19:25,372","00:19:26,706",29,178,3,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Okay, thats enough honey!",Chandler,neutral,neutral,11,0,8,2,6,23,"00:19:25,372","00:19:26,706",29,36,9,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
I dont know.  Let me see the ring.,Customer,neutral,neutral,11,1,8,3,6,23,"00:19:28,375","00:19:34,964",36,29,9,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Great! Okay, here.",Chandler,joy,positive,11,2,8,4,6,23,"00:19:32,129","00:19:34,964",29,36,9,False,[],True,"[{'dimension': 'Feedback', 'communicative_function': 'Feedback'}]",Feedback,Feedback
All right.,Customer,neutral,neutral,11,3,8,5,6,23,"0:19:37,342","0:19:39,934",36,29,9,False,[],False,[],,
Thank you. Thank you. Thank you!  And,Chandler,joy,positive,11,4,8,6,6,23,"0:19:39,934","0:19:40,074",29,36,9,False,[],True,"[{'dimension': 'SocialObligationManagement', 'communicative_function': 'Thanking'}]",SocialObligationManagement,Thanking
What've you been up to?,Chandler,neutral,neutral,12,0,9,0,2,5,"00:01:51,903","00:01:54,738",29,94,10,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'SetQ'}]",Task,SetQ
"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,12,1,9,1,2,5,"00:01:54,948","00:02:01,203",94,29,10,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,12,2,9,2,2,5,"00:02:01,621","00:02:07,459",94,29,10,True,"[('James Bond', 'PERSON')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,12,3,9,3,2,5,"00:02:10,547","00:02:14,758",29,94,10,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
I'm back.,Chandler,neutral,neutral,12,4,9,5,2,5,"0:02:16,261","0:02:16,903",29,94,10,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"So, are we gonna get together or what?",Jade,neutral,neutral,12,5,9,6,2,5,"0:02:16,903","0:02:19,185",94,29,10,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Directive'}]",Task,Directive
"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,12,6,9,7,2,5,"00:02:19,347","00:02:25,561",29,94,10,True,"[('tomorrow', 'DATE'), ('Central Perk', 'PERSON'), ('Village', 'LOC'), ('five', 'CARDINAL')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Great, I'll see you then.",Jade,neutral,neutral,12,7,9,8,2,5,"00:02:25,770","00:02:28,647",94,29,10,False,[],False,[],,
Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,12,8,9,9,2,5,"00:02:32,318","00:02:34,528",29,94,10,False,[],True,"[{'dimension': 'Feedback', 'communicative_function': 'Feedback'}]",Feedback,Feedback
Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,13,0,9,3,2,5,"00:02:10,547","00:02:14,758",29,197,11,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
I know.,Ross,neutral,neutral,13,1,9,4,2,5,"00:02:13,091","00:02:14,758",197,29,11,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
I'm back.,Chandler,neutral,neutral,13,2,9,5,2,5,"0:02:16,261","0:02:16,903",29,197,11,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,13,3,9,9,2,5,"00:02:32,318","00:02:34,528",29,197,11,False,[],True,"[{'dimension': 'Feedback', 'communicative_function': 'Feedback'}]",Feedback,Feedback
"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,13,4,9,10,2,5,"00:02:36,823","00:02:43,620",197,29,11,True,"[('Bob', 'PERSON'), ('Bob', 'PERSON')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,13,5,9,11,2,5,"00:02:47,375","00:02:52,337",29,197,11,True,"[('Bob', 'PERSON')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Oh my god. You are pure evil.,Ross,disgust,negative,13,6,9,12,2,5,"00:02:52,547","00:02:55,299",197,29,11,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,13,7,9,13,2,5,"00:02:56,634","00:03:05,058",29,197,11,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Nobody!,Phoebe,anger,negative,14,0,10,0,5,10,"0:11:57,091","0:11:58,551",178,144,12,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Nobody respects the bucket!,Phoebe,anger,negative,14,1,10,1,5,10,"0:11:58,551","0:11:59,947",178,144,12,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
You wouldn't believe what people put in here!,Phoebe,anger,negative,14,2,10,2,5,10,"00:12:00,553","00:12:02,721",178,144,12,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Look!,Phoebe,anger,negative,14,3,10,3,5,10,"00:12:02,888","00:12:04,597",178,144,12,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"Okay, does this look like a garbage can to you?",Phoebe,anger,negative,14,4,10,4,5,10,"00:12:02,888","00:12:07,016",178,144,12,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
No.,Monica,neutral,neutral,14,5,10,5,5,10,"00:12:04,765","00:12:07,016",144,178,12,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
This is my wedding.,Ross,neutral,neutral,15,0,11,0,4,23,"00:03:10,815","00:03:12,024",197,144,13,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!",Monica,anger,negative,15,1,11,1,4,23,"00:03:13,318","00:03:16,737",144,197,13,False,[],False,[],,
